id,title,description,price,discountPercentage,rating,stock,brand,category,thumbnail
42,Stiched Kurta plus trouser,FABRIC: LILEIN CHEST: 21 LENGHT: 37 TROUSER: (38) :ARABIC LILEIN,80,15.37,4.05,148,Digital Printed,womens-dresses,https://i.dummyjson.com/data/products/42/thumbnail.jpg
43,frock gold printed,Ghazi fabric long frock gold printed ready to wear stitched collection (G992),600,15.55,4.31,150,Ghazi Fabric,womens-dresses,https://i.dummyjson.com/data/products/43/thumbnail.jpg
44,Ladies Multicolored Dress,This classy shirt for women gives you a gorgeous look on everyday wear and specially for semi-casual wears.,79,16.88,4.03,2,Ghazi Fabric,womens-dresses,https://i.dummyjson.com/data/products/44/thumbnail.jpg
45,Malai Maxi Dress,"Ready to wear, Unique design according to modern standard fashion, Best fitting ,Imported stuff",50,5.07,4.67,96,IELGY,womens-dresses,https://i.dummyjson.com/data/products/45/thumbnail.jpg
46,women's shoes,"Close: Lace, Style with bottom: Increased inside, Sole Material: Rubber",40,16.96,4.14,72,IELGY fashion,womens-shoes,https://i.dummyjson.com/data/products/46/thumbnail.jpg
47,Sneaker shoes,Synthetic Leather Casual Sneaker shoes for Women/girls Sneakers For Women,120,10.37,4.19,50,Synthetic Leather,womens-shoes,https://i.dummyjson.com/data/products/47/thumbnail.jpeg
48,Women Strip Heel,"Features: Flip-flops, Mid Heel, Comfortable, Striped Heel, Antiskid, Striped",40,10.83,4.02,25,Sandals Flip Flops,womens-shoes,https://i.dummyjson.com/data/products/48/thumbnail.jpg
49,Chappals & Shoe Ladies Metallic,Womens Chappals & Shoe Ladies Metallic Tong Thong Sandal Flat Summer 2020 Maasai Sandals,23,2.62,4.72,107,Maasai Sandals,womens-shoes,https://i.dummyjson.com/data/products/49/thumbnail.jpg
50,Women Shoes,2020 New Arrivals Genuine Leather Fashion Trend Platform Summer Women Shoes,36,16.87,4.33,46,Arrivals Genuine,womens-shoes,https://i.dummyjson.com/data/products/50/thumbnail.jpg
51,half sleeves T shirts,Many store is creating new designs and trend every month and every year. Daraz.pk have a beautiful range of men fashion brands,23,12.76,4.26,132,Vintage Apparel,mens-shirts,https://i.dummyjson.com/data/products/51/thumbnail.jpg
52,FREE FIRE T Shirt,"quality and professional print - It doesn't just look high quality, it is high quality.",10,14.72,4.52,128,FREE FIRE,mens-shirts,https://i.dummyjson.com/data/products/52/thumbnail.jpg
53,printed high quality T shirts,"Brand: vintage Apparel ,Export quality",35,7.54,4.89,6,Vintage Apparel,mens-shirts,https://i.dummyjson.com/data/products/53/thumbnail.jpg
54,Pubg Printed Graphic T-Shirt,Product Description Features: 100% Ultra soft Polyester Jersey. Vibrant & colorful printing on front. Feels soft as cotton without ever cracking,46,16.44,4.62,136,The Warehouse,mens-shirts,https://i.dummyjson.com/data/products/54/thumbnail.jpg
55,Money Heist Printed Summer T Shirts,"Fabric Jercy, Size: M & L Wear Stylish Dual Stiched",66,15.97,4.9,122,The Warehouse,mens-shirts,https://i.dummyjson.com/data/products/55/thumbnail.jpg
56,Sneakers Joggers Shoes,"Gender: Men , Colors: Same as DisplayedCondition: 100% Brand New",40,12.57,4.38,6,Sneakers,mens-shoes,https://i.dummyjson.com/data/products/56/thumbnail.jpg
57,Loafers for men,Men Shoes - Loafers for men - Rubber Shoes - Nylon Shoes - Shoes for men - Moccassion - Pure Nylon (Rubber) Expot Quality.,47,10.91,4.91,20,Rubber,mens-shoes,https://i.dummyjson.com/data/products/57/thumbnail.jpg
58,formal offices shoes,"Pattern Type: Solid, Material: PU, Toe Shape: Pointed Toe ,Outsole Material: Rubber",57,12,4.41,68,The Warehouse,mens-shoes,https://i.dummyjson.com/data/products/58/thumbnail.jpg
59,Spring and summershoes,"Comfortable stretch cloth, lightweight body; ,rubber sole, anti-skid wear;",20,8.71,4.33,137,Sneakers,mens-shoes,https://i.dummyjson.com/data/products/59/thumbnail.jpg
60,Stylish Casual Jeans Shoes,"High Quality ,Stylish design ,Comfortable wear ,FAshion ,Durable",58,7.55,4.55,129,Sneakers,mens-shoes,https://i.dummyjson.com/data/products/60/thumbnail.jpg
61,Leather Straps Wristwatch,"Style:Sport ,Clasp:Buckles ,Water Resistance Depth:3Bar",120,7.14,4.63,91,Naviforce,mens-watches,https://i.dummyjson.com/data/products/61/thumbnail.jpg
62,Waterproof Leather Brand Watch,Watch Crown With Environmental IPS Bronze Electroplating; Display system of 12 hours,46,3.15,4.05,95,SKMEI 9117,mens-watches,https://i.dummyjson.com/data/products/62/thumbnail.jpg
63,Royal Blue Premium Watch,Men Silver Chain Royal Blue Premium Watch Latest Analog Watch,50,2.56,4.89,142,SKMEI 9117,mens-watches,https://i.dummyjson.com/data/products/63/thumbnail.webp
64,Leather Strap Skeleton Watch,Leather Strap Skeleton Watch for Men - Stylish and Latest Design,46,10.2,4.98,61,Strap Skeleton,mens-watches,https://i.dummyjson.com/data/products/64/thumbnail.jpg
65,Stainless Steel Wrist Watch,Stylish Watch For Man (Luxury) Classy Men's Stainless Steel Wrist Watch - Box Packed,47,17.79,4.79,94,Stainless,mens-watches,https://i.dummyjson.com/data/products/65/thumbnail.webp
66,Steel Analog Couple Watches,"Elegant design, Stylish ,Unique & Trendy,Comfortable wear",35,3.23,4.79,24,Eastern Watches,womens-watches,https://i.dummyjson.com/data/products/66/thumbnail.jpg
67,Fashion Magnetic Wrist Watch,Buy this awesome  The product is originally manufactured by the company and it's a top selling product with a very reasonable,60,16.69,4.03,46,Eastern Watches,womens-watches,https://i.dummyjson.com/data/products/67/thumbnail.jpg
68,Stylish Luxury Digital Watch,Stylish Luxury Digital Watch For Girls / Women - Led Smart Ladies Watches For Girls,57,9.03,4.55,77,Luxury Digital,womens-watches,https://i.dummyjson.com/data/products/68/thumbnail.webp
69,Golden Watch Pearls Bracelet Watch,Product details of Golden Watch Pearls Bracelet Watch For Girls - Golden Chain Ladies Bracelate Watch for Women,47,17.55,4.77,89,Watch Pearls,womens-watches,https://i.dummyjson.com/data/products/69/thumbnail.jpg
70,Stainless Steel Women,Fashion Skmei 1830 Shell Dial Stainless Steel Women Wrist Watch Lady Bracelet Watch Quartz Watches Ladies,35,8.98,4.08,111,Bracelet,womens-watches,https://i.dummyjson.com/data/products/70/thumbnail.jpg
71,Women Shoulder Bags,LouisWill Women Shoulder Bags Long Clutches Cross Body Bags Phone Bags PU Leather Hand Bags Large Capacity Card Holders Zipper Coin Purses Fashion Crossbody Bags for Girls Ladies,46,14.65,4.71,17,LouisWill,womens-bags,https://i.dummyjson.com/data/products/71/thumbnail.jpg
72,Handbag For Girls,This fashion is designed to add a charming effect to your casual outfit. This Bag is made of synthetic leather.,23,17.5,4.91,27,LouisWill,womens-bags,https://i.dummyjson.com/data/products/72/thumbnail.webp
73,Fancy hand clutch,This fashion is designed to add a charming effect to your casual outfit. This Bag is made of synthetic leather.,44,10.39,4.18,101,Bracelet,womens-bags,https://i.dummyjson.com/data/products/73/thumbnail.jpg
74,Leather Hand Bag,"It features an attractive design that makes it a must have accessory in your collection. We sell different kind of bags for boys, kids, women, girls and also for unisex.",57,11.19,4.01,43,Copenhagen Luxe,womens-bags,https://i.dummyjson.com/data/products/74/thumbnail.jpg
75,Seven Pocket Women Bag,Seven Pocket Women Bag Handbags Lady Shoulder Crossbody Bag Female Purse Seven Pocket Bag,68,14.87,4.93,13,Steal Frame,womens-bags,https://i.dummyjson.com/data/products/75/thumbnail.jpg
76,Silver Ring Set Women,Jewelry Type:RingsCertificate Type:NonePlating:Silver PlatedShapeattern:noneStyle:CLASSICReligious,70,13.57,4.61,51,Darojay,womens-jewellery,https://i.dummyjson.com/data/products/76/thumbnail.jpg
77,Rose Ring,Brand: The Greetings Flower Colour: RedRing Colour: GoldenSize: Adjustable,100,3.22,4.21,149,Copenhagen Luxe,womens-jewellery,https://i.dummyjson.com/data/products/77/thumbnail.jpg
78,Rhinestone Korean Style Open Rings,Fashion Jewellery 3Pcs Adjustable Pearl Rhinestone Korean Style Open Rings For Women,30,8.02,4.69,9,Fashion Jewellery,womens-jewellery,https://i.dummyjson.com/data/products/78/thumbnail.jpg
79,Elegant Female Pearl Earrings,Elegant Female Pearl Earrings Set Zircon Pearl Earings Women Party Accessories 9 Pairs/Set,30,12.8,4.74,16,Fashion Jewellery,womens-jewellery,https://i.dummyjson.com/data/products/79/thumbnail.jpg
80,Chain Pin Tassel Earrings,Pair Of Ear Cuff Butterfly Long Chain Pin Tassel Earrings - Silver ( Long Life Quality Product),45,17.75,4.59,9,Cuff Butterfly,womens-jewellery,https://i.dummyjson.com/data/products/80/thumbnail.jpg
81,Round Silver Frame Sun Glasses,"A pair of sunglasses can protect your eyes from being hurt. For car driving, vacation travel, outdoor activities, social gatherings,",19,10.1,4.94,78,Designer Sun Glasses,sunglasses,https://i.dummyjson.com/data/products/81/thumbnail.jpg
82,Kabir Singh Square Sunglass,Orignal Metal Kabir Singh design 2020 Sunglasses Men Brand Designer Sun Glasses Kabir Singh Square Sunglass,50,15.6,4.62,78,Designer Sun Glasses,sunglasses,https://i.dummyjson.com/data/products/82/thumbnail.jpg
83,Wiley X Night Vision Yellow Glasses,Wiley X Night Vision Yellow Glasses for Riders - Night Vision Anti Fog Driving Glasses - Free Night Glass Cover - Shield Eyes From Dust and Virus- For Night Sport Matches,30,6.33,4.97,115,mastar watch,sunglasses,https://i.dummyjson.com/data/products/83/thumbnail.jpg
84,Square Sunglasses,Fashion Oversized Square Sunglasses Retro Gradient Big Frame Sunglasses For Women One Piece Gafas Shade Mirror Clear Lens 17059,28,13.89,4.64,64,mastar watch,sunglasses,https://i.dummyjson.com/data/products/84/thumbnail.jpg
85,LouisWill Men Sunglasses,LouisWill Men Sunglasses Polarized Sunglasses UV400 Sunglasses Day Night Dual Use Safety Driving Night Vision Eyewear AL-MG Frame Sun Glasses with Free Box for Drivers,50,11.27,4.98,92,LouisWill,sunglasses,https://i.dummyjson.com/data/products/85/thumbnail.jpg
86,Bluetooth Aux,Bluetooth Aux Bluetooth Car Aux Car Bluetooth Transmitter Aux Audio Receiver Handfree Car Bluetooth Music Receiver Universal 3.5mm Streaming A2DP Wireless Auto AUX Audio Adapter With Mic For Phone MP3,25,10.56,4.57,22,Car Aux,automotive,https://i.dummyjson.com/data/products/86/thumbnail.jpg
87,t Temperature Controller Incubator Controller,"Both Heat and Cool Purpose, Temperature control range; -50 to +110, Temperature measurement accuracy; 0.1, Control accuracy; 0.1",40,11.3,4.54,37,W1209 DC12V,automotive,https://i.dummyjson.com/data/products/87/thumbnail.jpg
88,TC Reusable Silicone Magic Washing Gloves,"TC Reusable Silicone Magic Washing Gloves with Scrubber, Cleaning Brush Scrubber Gloves Heat Resistant Pair for Cleaning of Kitchen, Dishes, Vegetables and Fruits, Bathroom, Car Wash, Pet Care and Multipurpose",29,3.19,4.98,42,TC Reusable,automotive,https://i.dummyjson.com/data/products/88/thumbnail.jpg
89,Qualcomm original Car Charger,"best Quality CHarger , Highly Recommended to all best Quality CHarger , Highly Recommended to all",40,17.53,4.2,79,TC Reusable,automotive,https://i.dummyjson.com/data/products/89/thumbnail.jpg
90,Cycle Bike Glow,"Universal fitment and easy to install no special wires, can be easily installed and removed. Fits most standard tyre air stem valves of road, mountain bicycles, motocycles and cars.Bright led will turn on w",35,11.08,4.1,63,Neon LED Light,automotive,https://i.dummyjson.com/data/products/90/thumbnail.jpg
91,Black Motorbike,"Engine Type:Wet sump, Single Cylinder, Four Stroke, Two Valves, Air Cooled with SOHC (Single Over Head Cam) Chain Drive Bore & Stroke:47.0 x 49.5 MM",569,13.63,4.04,115,METRO 70cc Motorcycle - MR70,motorcycle,https://i.dummyjson.com/data/products/91/thumbnail.jpg
92,HOT SALE IN EUROPE electric racing motorcycle,HOT SALE IN EUROPE electric racing motorcycle electric motorcycle for sale adult electric motorcycles,920,14.4,4.19,22,BRAVE BULL,motorcycle,https://i.dummyjson.com/data/products/92/thumbnail.jpg
93,Automatic Motor Gas Motorcycles,150cc 4-Stroke Motorcycle Automatic Motor Gas Motorcycles Scooter motorcycles 150cc scooter,1050,3.34,4.84,127,shock absorber,motorcycle,https://i.dummyjson.com/data/products/93/thumbnail.jpg
94,new arrivals Fashion motocross goggles,new arrivals Fashion motocross goggles motorcycle motocross racing motorcycle,900,3.85,4.06,109,JIEPOLLY,motorcycle,https://i.dummyjson.com/data/products/94/thumbnail.webp
95,Wholesale cargo lashing Belt,Wholesale cargo lashing Belt Tie Down end Ratchet strap customized strap 25mm motorcycle 1500kgs with rubber handle,930,17.67,4.21,144,Xiangle,motorcycle,https://i.dummyjson.com/data/products/95/thumbnail.jpg
96,lighting ceiling kitchen,Wholesale slim hanging decorative kid room lighting ceiling kitchen chandeliers pendant light modern,30,14.89,4.83,96,lightingbrilliance,lighting,https://i.dummyjson.com/data/products/96/thumbnail.jpg
97,Metal Ceramic Flower,Metal Ceramic Flower Chandelier Home Lighting American Vintage Hanging Lighting Pendant Lamp,35,10.94,4.93,146,Ifei Home,lighting,https://i.dummyjson.com/data/products/97/thumbnail.jpg
98,3 lights lndenpant kitchen islang,3 lights lndenpant kitchen islang dining room pendant rice paper chandelier contemporary led pendant light modern chandelier,34,5.92,4.99,44,DADAWU,lighting,https://i.dummyjson.com/data/products/98/thumbnail.jpg
99,American Vintage Wood Pendant Light,American Vintage Wood Pendant Light Farmhouse Antique Hanging Lamp Lampara Colgante,46,8.84,4.32,138,Ifei Home,lighting,https://i.dummyjson.com/data/products/99/thumbnail.jpg
100,Crystal chandelier maria theresa for 12 light,Crystal chandelier maria theresa for 12 light,47,16,4.74,133,YIOSI,lighting,https://i.dummyjson.com/data/products/100/thumbnail.jpg
